Frame index, Frame time (ms), DLSS-G Frame Duration (ms), CPU memory (MB), GPU memory (MB)
307, 7.78, 7.78, 0.00, 0.00
308, 8.43, 8.43, 0.00, 0.00
309, 8.51, 8.51, 0.00, 0.00
310, 8.16, 8.16, 0.00, 0.00
311, 8.63, 8.63, 0.00, 0.00
312, 8.07, 8.07, 0.00, 0.00
313, 8.78, 8.78, 0.00, 0.00
314, 8.25, 8.25, 0.00, 0.00
315, 8.38, 8.38, 0.00, 0.00
316, 8.44, 8.44, 0.00, 0.00
317, 8.18, 8.18, 0.00, 0.00
318, 8.69, 8.69, 0.00, 0.00
319, 8.54, 8.54, 0.00, 0.00
320, 7.84, 7.84, 0.00, 0.00
321, 8.31, 8.31, 0.00, 0.00
322, 8.38, 8.38, 0.00, 0.00
323, 8.24, 8.24, 0.00, 0.00
324, 8.22, 8.22, 0.00, 0.00
325, 8.84, 8.84, 0.00, 0.00
326, 8.03, 8.03, 0.00, 0.00
327, 8.33, 8.33, 0.00, 0.00
328, 8.84, 8.84, 0.00, 0.00
329, 8.17, 8.17, 0.00, 0.00
330, 8.58, 8.58, 0.00, 0.00
331, 8.44, 8.44, 0.00, 0.00
332, 8.34, 8.34, 0.00, 0.00
333, 8.27, 8.27, 0.00, 0.00
334, 8.38, 8.38, 0.00, 0.00
335, 8.37, 8.37, 0.00, 0.00
336, 8.74, 8.74, 0.00, 0.00
337, 8.26, 8.26, 0.00, 0.00
338, 8.27, 8.27, 0.00, 0.00
339, 8.60, 8.60, 0.00, 0.00
340, 9.16, 9.16, 0.00, 0.00
341, 7.63, 7.63, 0.00, 0.00
342, 8.26, 8.26, 0.00, 0.00
343, 8.58, 8.58, 0.00, 0.00
344, 8.15, 8.15, 0.00, 0.00
345, 8.49, 8.49, 0.00, 0.00
346, 8.59, 8.59, 0.00, 0.00
347, 7.92, 7.92, 0.00, 0.00
348, 8.71, 8.71, 0.00, 0.00
349, 8.48, 8.48, 0.00, 0.00
350, 8.64, 8.64, 0.00, 0.00
351, 7.95, 7.95, 0.00, 0.00
352, 8.43, 8.43, 0.00, 0.00
353, 8.26, 8.26, 0.00, 0.00
354, 8.55, 8.55, 0.00, 0.00
355, 8.28, 8.28, 0.00, 0.00
356, 8.48, 8.48, 0.00, 0.00
357, 8.44, 8.44, 0.00, 0.00
358, 8.14, 8.14, 0.00, 0.00
359, 8.50, 8.50, 0.00, 0.00
360, 8.11, 8.11, 0.00, 0.00
361, 8.84, 8.84, 0.00, 0.00
362, 8.07, 8.07, 0.00, 0.00
363, 8.77, 8.77, 0.00, 0.00
364, 7.98, 7.98, 0.00, 0.00
365, 8.51, 8.51, 0.00, 0.00
366, 8.28, 8.28, 0.00, 0.00
367, 8.62, 8.62, 0.00, 0.00
368, 8.14, 8.14, 0.00, 0.00
369, 8.15, 8.15, 0.00, 0.00
370, 8.40, 8.40, 0.00, 0.00
371, 8.44, 8.44, 0.00, 0.00
372, 8.62, 8.62, 0.00, 0.00
373, 7.75, 7.75, 0.00, 0.00
374, 8.50, 8.50, 0.00, 0.00
375, 8.44, 8.44, 0.00, 0.00
376, 8.13, 8.13, 0.00, 0.00
377, 8.47, 8.47, 0.00, 0.00
378, 8.03, 8.03, 0.00, 0.00
379, 8.43, 8.43, 0.00, 0.00
380, 7.68, 7.68, 0.00, 0.00
381, 8.24, 8.24, 0.00, 0.00
382, 8.24, 8.24, 0.00, 0.00
383, 8.54, 8.54, 0.00, 0.00
384, 8.56, 8.56, 0.00, 0.00
385, 8.16, 8.16, 0.00, 0.00
386, 7.53, 7.53, 0.00, 0.00
387, 8.41, 8.41, 0.00, 0.00
388, 8.41, 8.41, 0.00, 0.00
389, 7.89, 7.89, 0.00, 0.00
390, 8.22, 8.22, 0.00, 0.00
391, 8.02, 8.02, 0.00, 0.00
392, 8.34, 8.34, 0.00, 0.00
393, 8.19, 8.19, 0.00, 0.00
394, 7.90, 7.90, 0.00, 0.00
395, 8.49, 8.49, 0.00, 0.00
396, 7.89, 7.89, 0.00, 0.00
397, 8.31, 8.31, 0.00, 0.00
398, 8.06, 8.06, 0.00, 0.00
399, 8.20, 8.20, 0.00, 0.00
400, 8.32, 8.32, 0.00, 0.00
401, 7.85, 7.85, 0.00, 0.00
402, 8.50, 8.50, 0.00, 0.00
403, 7.83, 7.83, 0.00, 0.00
404, 8.57, 8.57, 0.00, 0.00
405, 8.06, 8.06, 0.00, 0.00
406, 8.09, 8.09, 0.00, 0.00
407, 8.73, 8.73, 0.00, 0.00
408, 8.00, 8.00, 0.00, 0.00
409, 9.12, 9.12, 0.00, 0.00
410, 7.70, 7.70, 0.00, 0.00
411, 7.88, 7.88, 0.00, 0.00
412, 8.39, 8.39, 0.00, 0.00
413, 8.03, 8.03, 0.00, 0.00
414, 8.30, 8.30, 0.00, 0.00
415, 9.11, 9.11, 0.00, 0.00
416, 7.70, 7.70, 0.00, 0.00
417, 8.37, 8.37, 0.00, 0.00
418, 8.21, 8.21, 0.00, 0.00
419, 8.53, 8.53, 0.00, 0.00
420, 8.02, 8.02, 0.00, 0.00
421, 8.51, 8.51, 0.00, 0.00
422, 8.21, 8.21, 0.00, 0.00
423, 8.33, 8.33, 0.00, 0.00
424, 8.55, 8.55, 0.00, 0.00
425, 8.19, 8.19, 0.00, 0.00
426, 8.34, 8.34, 0.00, 0.00
427, 8.22, 8.22, 0.00, 0.00
428, 8.72, 8.72, 0.00, 0.00
429, 8.29, 8.29, 0.00, 0.00
430, 8.71, 8.71, 0.00, 0.00
431, 8.03, 8.03, 0.00, 0.00
432, 9.02, 9.02, 0.00, 0.00
433, 7.94, 7.94, 0.00, 0.00
434, 8.65, 8.65, 0.00, 0.00
435, 8.51, 8.51, 0.00, 0.00
436, 8.89, 8.89, 0.00, 0.00
437, 8.27, 8.27, 0.00, 0.00
438, 8.35, 8.35, 0.00, 0.00
439, 8.59, 8.59, 0.00, 0.00
440, 8.91, 8.91, 0.00, 0.00
441, 8.26, 8.26, 0.00, 0.00
442, 8.50, 8.50, 0.00, 0.00
443, 8.80, 8.80, 0.00, 0.00
444, 8.32, 8.32, 0.00, 0.00
445, 8.77, 8.77, 0.00, 0.00
446, 8.44, 8.44, 0.00, 0.00
447, 8.27, 8.27, 0.00, 0.00
448, 8.58, 8.58, 0.00, 0.00
449, 8.73, 8.73, 0.00, 0.00
450, 8.97, 8.97, 0.00, 0.00
451, 8.17, 8.17, 0.00, 0.00
452, 9.04, 9.04, 0.00, 0.00
453, 8.36, 8.36, 0.00, 0.00
454, 9.24, 9.24, 0.00, 0.00
455, 7.70, 7.70, 0.00, 0.00
456, 8.85, 8.85, 0.00, 0.00
457, 8.26, 8.26, 0.00, 0.00
458, 8.78, 8.78, 0.00, 0.00
459, 8.47, 8.47, 0.00, 0.00
